FCLTY_NM,MRHST_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,BLOG_URL,FACEBOOK_URL,INSTGRM_URL,RSTDE_GUID_CN,OPER_TIME,FRE_PARKNG_AT,CHGD_PARKNG_AT,ENTRN_PRICE_AT,ENTRN_POSBL_BN_VALUE,DSPSN_TOILET_AT,NRSGRM_AT,STROLLER_LEND_AT,KIDS_ZONE_AT
공산성 쌍수정,,문화관광/명소,명승지,성/성터,충청남도,공주시,금성동,,15,,,36.46226226,127.125629,32537,,충청남도 공주시 금성동 15,418562755,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
공수전리마을관리휴양지,,문화관광/명소,관광지,N,강원도,양양군,서면,공수전리,산2-7,구룡령로,339494,38.03640913,128.5320428,25037,강원도 양양군 서면 구룡령로 2829-7,강원도 양양군 서면 공수전리 산 2-7,336733450,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
공수전휴양지,,문화관광/명소,관광지,휴양림/수목원,강원도,양양군,서면,공수전리,109,용소길,49,38.03617349,128.5592457,25037,강원도 양양군 서면 용소길 49,강원도 양양군 서면 공수전리 109,336702114,,,,,,,N,N,N,연령제한없음,N,N,N,Y
공아트스페이스,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,관훈동,,118-2,인사동길,May-62,37.57547648,126.9838569,3146,서울특별시 종로구 인사동길 62-5,서울특별시 종로구 관훈동 118-2,27359938,,https://blog.naver.com/gongartspace,https://www.facebook.com/%EA%B3%B5%EC%95%84%ED%8A%B8%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4-201038949960167/,,"주말, 공휴일 (전시 중에는 운영)",10:00~18:30,N,N,N,연령제한없음,N,N,N,Y
공연예술기획열린무대,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,이천시,마장면,오천리,275-3,오천로,18,37.25471339,127.3507108,17387,경기도 이천시 마장면 오천로 18,경기도 이천시 마장면 오천리 275-3,5022881515,https://openstage1.modoo.at/,https://blog.naver.com/openstagebiz,,,,,N,N,N,연령제한없음,N,N,N,Y
공연예술소극장용,,전시/공연,전시/기념관,N,전라북도,전주시 완산구,고사동,,213-1,전주객사5길,67,35.82108202,127.1446175,54999,전라북도 전주시 완산구 전주객사5길 67,전라북도 전주시 완산구 고사동 213-1,,,https://blog.naver.com/acejoyful,,,월요일,10:00~22:00,Y,N,Y,연령제한없음,N,N,N,Y
공연일번지,,전시/공연,영화/연극/공연,공연/연극/문화센터,광주광역시,동구,충장동,,01월 15일,금남로,218-9,35.14923542,126.9157471,61482,광주광역시 동구 금남로 218-9,광주광역시 동구 금남로3가 15-1,622227008,https://cafe.daum.net/art1broadway/_rec,,,,연중무휴,공연별 상이,N,N,N,공연별 상이,N,N,N,N
공예미술관보임쉔,,전시/공연,전시/기념관,미술관,전라남도,담양군,대전면,응용리,591,신룡길,Mar-79,35.24869707,126.8795976,57330,전라남도 담양군 대전면 신룡길 79-3,전라남도 담양군 대전면 응용리 591,613836473,http://www.artbaum.co.kr/,,,,월요일,10:00~18:00,N,N,N,연령제한없음,N,N,N,Y
공예품전시관,,전시/공연,전시/기념관,기타전시/박물관,전라북도,전주시 완산구,교동,,May-65,태조로,15,35.81439156,127.1530924,55045,전라북도 전주시 완산구 태조로 15,전라북도 전주시 완산구 교동 65-5,632811610,http://www.jeonjucraft.or.kr,,,http://www.instagram.com/jeonjucraft,월요일,10:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
공예품전시판매관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,웅진동,,320,고마나루길,30,36.46252128,127.1112476,32535,충청남도 공주시 고마나루길 30,충청남도 공주시 웅진동 320,50713079097,http://cncc.or.kr/,,,,"주말, 공휴일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
공인박물관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,양산시,용당동,,127-1,탑골길,310,35.41643888,129.2118881,50524,경상남도 양산시 탑골길 310,경상남도 양산시 용당동 127-1,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
공작기계판매전시장,,전시/공연,전시/기념관,기타전시/박물관,경기도,시흥시,정왕동,,1696-4,협력로,62,37.33628132,126.7020947,15096,경기도 시흥시 협력로 62,경기도 시흥시 정왕동 1696-4,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
공작산휴양림,,문화관광/명소,관광지,휴양림/수목원,강원도,홍천군,영귀미면,노천리,Feb-32,공작골길,180,37.7057928,128.0110062,25155,강원도 홍천군 영귀미면 공작골길 180,강원도 홍천군 영귀미면 노천리 2032-2,334344987,,,,,,,Y,N,Y,연령제한없음,N,N,N,Y
공주교육대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,봉황동,,376-1,웅진로,27,36.44520385,127.1196552,32553,충청남도 공주시 웅진로 27,충청남도 공주시 봉황동 376-1,418501351,https://www.culture.go.kr/space/facilityView.do?seq=258,,,,"공휴일, 학칙에정한 휴일",,N,N,N,연령제한없음,N,N,N,N
공주대학교공주캠퍼스박물관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,신관동,,182,공주대학로,56,36.46684834,127.1386693,32588,충청남도 공주시 공주대학로 56,충청남도 공주시 신관동 182,418508733,https://museum.kongju.ac.kr/M00045/index.do,,,,"일요일, 공휴일, 학교에서 정하는 휴관일",10:00~16:00,Y,Y,N,연령제한없음,N,N,N,Y
공주문예회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,충청남도,공주시,웅진동,,283,고마나루길,5,36.46017763,127.1117237,32535,충청남도 공주시 고마나루길 5,충청남도 공주시 웅진동 283,418402180,https://www.gongju.go.kr/acc/,,,,월요일,09:00~22:00,Y,N,Y,연령제한없음,N,N,N,Y
공주문학사랑방,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,반죽동,,253-3,당간지주길,21,36.45218159,127.1231838,32549,충청남도 공주시 당간지주길 21,충청남도 공주시 반죽동 253-3,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
공주문화예술촌,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,교동,,108-2,봉황로,134,36.45796823,127.1216026,32542,충청남도 공주시 봉황로 134,충청남도 공주시 교동 108-2,7044159123,,,,,월요일,10:00~19:00,Y,N,N,연령제한없음,N,N,N,Y
공주산림휴양마을,,문화관광/명소,관광지,휴양림/수목원,충청남도,공주시,금학동,,산57,수원지공원길,222,36.42442524,127.11932,32602,충청남도 공주시 수원지공원길 222,충청남도 공주시 금학동 산 57,,,,,,,,Y,N,N,연령제한없음,N,N,N,Y
공주시농업전시관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,우성면,도천리,01월 02일,내산목천길,52-15,36.49230245,127.1001077,32528,충청남도 공주시 우성면 내산목천길 52-15,충청남도 공주시 우성면 도천리 1-2,418402329,https://www.gongju.go.kr/farming/sub01_06_02_01.do,,,,"1월 1일, 명절",09:00~18:00,Y,N,N,6세이하는 보호자와 동반,N,N,N,Y
공주시충남교향악단,,전시/공연,영화/연극/공연,공연/연극/문화센터,충청남도,공주시,웅진동,,283,고마나루길,5,36.46017763,127.1117237,32535,충청남도 공주시 고마나루길 5,충청남도 공주시 웅진동 283,418560778,http://www.gongju.go.kr/cpo/,,,,,,Y,N,N,연령제한없음,N,N,N,Y
공주역사영상관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,반죽동,,221-1,우체국길,8,36.45442495,127.1219556,32546,충청남도 공주시 우체국길 8,충청남도 공주시 반죽동 221-1,418526883,,,,,월요일,09:00~17:00,N,N,N,연령제한없음,N,N,N,N
공주풀꽃문학관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,공주시,반죽동,,334-4,봉황로,Dec-85,36.45366009,127.1198552,32550,충청남도 공주시 봉황로 85-12,충청남도 공주시 반죽동 334-4,418812708,http://www.gjliterary.org/,,,,월요일,"동절기 09:00~17:00, 하절기 09:00~18:00",Y,N,N,연령제한없음,N,N,N,Y
공주풀꽃이랑마을체험관,,문화관광/명소,관광지,N,충청남도,공주시,정안면,고성리,311,고성1길,250-34,36.59155748,127.0869727,32513,충청남도 공주시 정안면 고성1길 250-34,충청남도 공주시 정안면 고성리 311,,,,,,,,Y,N,N,연령제한없음,N,N,N,Y
공주한옥마을,,문화관광/명소,관광지,유명관광지,충청남도,공주시,웅진동,,325-11,관광단지길,12,36.46468562,127.1075916,32535,충청남도 공주시 관광단지길 12,충청남도 공주시 웅진동 325-11,50714332828,http://www.gongju.go.kr/hanok/,,https://www.facebook.com/gongju.go.kr,,연중무휴,00:00~24:00,Y,N,Y,연령제한없음,N,N,N,Y
공주훼미리랜드,,문화관광/명소,관광지,일반유원지/일반놀이공원,충청남도,공주시,의당면,청룡리,298-3,의당전의로,153-9,36.50289209,127.1547416,32517,충청남도 공주시 의당면 의당전의로 153-9,충청남도 공주시 의당면 청룡리 298-3,,,,,,,,Y,N,Y,연령제한없음,N,N,N,Y
공중수목원(2023년1월예정),,문화관광/명소,관광지,휴양림/수목원,부산광역시,중구,중앙동,,01월 20일,중앙대로,2,35.0979849,129.0366323,48944,부산광역시 중구 중앙대로 2,부산광역시 중구 중앙동7가 20-1,,,,,,,,N,N,N,문의,N,N,N,N
공지천분수대,,문화관광/명소,관광지,N,강원도,춘천시,삼천동,,469-17,,,37.87264086,127.7105077,24239,,강원도 춘천시 삼천동 469-17,332503089,,,,,,,N,N,N,연령제한없음,N,N,N,Y
공지천유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,강원도,춘천시,근화동,,694,이디오피아길,25,37.87462583,127.7095314,24238,강원도 춘천시 이디오피아길 25,강원도 춘천시 근화동 694,332503089,http://tour.chuncheon.go.kr/contents.do?cid=11c74a6d47754a2cbb8a31329aca644f&categoryId=6&sdbSeq=272&obn=MAIN_TITLE&obt=asc&searchKeyword=&id=d781f9f20b3542ffb97c02d8729ed507,,,,,,Y,N,N,연령제한없음,N,N,N,Y
공처농요전수교육관,,전시/공연,전시/기념관,기타전시/박물관,경상북도,예천군,풍양면,공덕리,465,공덕길,41,36.50180914,128.3071829,36867,경상북도 예천군 풍양면 공덕길 41,경상북도 예천군 풍양면 공덕리 465,546522304,https://support.nihc.go.kr/iptl/tdc/tdcF.do?tab=tab3&subtab=subtab1&lekReqstUid=138345470580880930&page=1],,,,"주말, 공휴일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
공터,,문화관광/명소,관광지,N,서울특별시,노원구,중계동,,산102,,,37.65284711,127.0914973,1789,,서울특별시 노원구 중계동 산 102,221160545,,,,,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y
공평도시유적전시관,,전시/공연,전시/기념관,기타전시/박물관,서울특별시,종로구,공평동,,17,우정국로,26,37.57168081,126.9835303,3161,서울특별시 종로구 우정국로 26,서울특별시 종로구 공평동 17,27240135,https://museum.seoul.go.kr/www/intro/annexIntro/annex_gongpyeong/annex_gongpyeong_01.jsp?sso=ok,,,,월요일,09:00~18:00,N,Y,N,연령제한없음,N,N,Y,Y
공항화랑,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,광산구,신촌동,,698-9,상무대로,420-25,35.13938862,126.8109123,62425,광주광역시 광산구 상무대로 420-25,광주광역시 광산구 신촌동 698-9,629420405,,,,,,,Y,N,N,연령제한없음,N,N,N,Y
